year,solid,liquid,total,gas
1959,0,0,109736.8,0
1960,97208.503,19460.769,120581.961,0
1961,104956.874,21327.272,130402.187,3.667
1962,114227.05,24906.264,143467.708,11.001
1963,122144.103,27128.466,154083.673,11.001
1964,117167.984,28144.225,150647.694,22.002
1965,128818.043,30839.47,165972.087,282.359
1966,129404.763,35705.579,171765.947,311.695
1967,131740.642,32724.308,172238.99,487.711
1968,136973.451,42284.177,187336.029,751.735
1969,136463.738,45386.459,190724.337,997.424
1970,136669.09,49372.488,195143.072,924.084
1971,140449.767,55489.044,205869.047,1085.432
1972,148641.845,58925.023,217849.136,1206.443
1973,152440.857,61799.951,224343.393,1169.773
1974,161102.311,60677.849,231992.755,1360.457
1975,178465.556,61887.959,252201.592,1734.491
1976,186855.652,63490.438,263785.645,2295.542
1977,196356.849,68613.237,279051.366,2482.559
1978,193236.232,75378.852,283096.067,2742.916
1979,199800.162,82731.187,296891.321,3032.609
1980,218289.176,83244.567,314016.211,2489.893
1981,232634.48,89786.495,338838.134,2885.929
1982,235751.43,94483.922,349637.449,4363.73
1983,257207.047,99251.022,378669.088,5247.477
1984,256073.944,106192.653,388118.947,6175.228
1985,280184.469,116856.289,426673.785,7205.655
1986,302175.468,121957.086,457571.927,10318.938
1987,322846.347,127776.615,488481.07,12786.829
1988,350847.559,133724.489,527563.956,15218.05
1989,375687.817,150838.378,579008.299,18533.018
1990,405430.854,158297.056,619154.615,21114.586
1991,434774.188,166558.807,658189.83,23582.477
1992,455096.702,188208.775,699087.881,27278.813
1993,479108.218,187031.668,723697.118,27018.456
1994,504106.157,199118.1,764730.848,29024.305
1995,521810.433,216459.343,811562.105,39082.886
1996,558066.062,243360.455,882324.204,39779.616
1997,583753.397,244401.883,917685.085,46061.187
1998,579774.702,263107.25,936221.77,47634.33
1999,620042.029,285483.284,995766.516,42350.183
2000,633701.604,303752.278,1031853.463,43908.658
2001,643881.196,298068.428,1041152.975,43604.297
2002,662153.857,284834.225,1054258.833,47172.288
2003,692344.268,293851.378,1099597.621,50028.881
2004,741104.367,296858.318,1154320.262,49625.511
2005,798071.212,300011.938,1222563.132,50479.922
2006,855698.117,316902.14,1303717.509,49482.498
2007,931927.713,335739.519,1407607.286,52738.794
2008,1007497.249,403403.003,1568379.567,63098.069
2009,1088420.605,454836.345,1738645.711,91245.961
2010,1093532.403,414257.323,1719690.988,100318.119
2011,1210839.733,417726.305,1841776.419,91443.979
2012,1365785.151,437836.133,2018503.817,78151.104
2013,1329932.892,461172.921,2034752.294,101883.928
2014,1492751.359,514109.733,2238377.137,92694.426